epoch,stage,lambda_id,alpha,lambda_traj_curr,lambda_sg,train_total_loss,train_boot_loss,train_transport_loss,train_drift_loss,train_identity_loss,train_traj_curr_loss,train_semigroup_loss,train_main_traj_contract_loss,train_mean_midpoint_reconstruction_shift_norm,train_mean_continuation_reevaluation_shift_norm,train_mean_continuation_target_blend_shift_norm,train_mean_semigroup_endpoint_closure_residual_norm,train_mean_predictor_semigroup_defect_norm,train_mean_corrected_semigroup_defect_norm,train_mean_first_projection_short_leg_correction_norm,train_mean_first_projection_continuation_correction_norm,train_mean_second_projection_short_leg_correction_norm,train_mean_second_projection_continuation_correction_norm,train_transported_final_energy,val_one_step_transported_final_energy,val_one_step_energy_delta_vs_identity,val_one_step_fixed_point_residual_delta_vs_identity,val_configured_transported_final_energy,val_configured_energy_delta_vs_identity,val_configured_fixed_point_residual_delta_vs_identity,val_accuracy,val_output_mse
1,warmup,0.0,1.0,0.0,0.0,4.493656037904779e-06,4.493656037904779e-06,2.4738491371164604e-06,2.0198069007883185e-06,6.762819587502695e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495335591577503,0.48319073473143526,-9.264746652459799e-05,-4.722473462792599e-07,0.48318405820170673,-9.932399625312005e-05,-5.051966721226619e-07,0.1037037037037037,0.09665667643959197
2,warmup,0.0,1.0,0.0,0.0,4.389957985811562e-06,4.389957985811562e-06,2.4474825741230954e-06,1.9424754116884674e-06,6.816827356115794e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47573674806048283,0.4679802991513115,-9.820800283799613e-05,-5.079184827166006e-07,0.4679739151923832,-0.00010459196176632046,-5.404195986554274e-07,0.1,0.0936157014308299
3,warmup,0.0,1.0,0.0,0.0,4.3101318234686984e-06,4.3101318234686984e-06,2.422277034151459e-06,1.88785478931724e-06,6.858573364562639e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46309054979151343,0.4579608781238024,-0.00010485075275640243,-5.478411410232817e-07,0.45795478655559124,-0.00011094232096753309,-5.793707302127868e-07,0.1,0.09161314577531175
4,transition,0.011731042782619834,0.9413447860869009,0.023462085565239668,0.1,4.4186778151119695e-06,4.248959395290344e-06,2.3976169232269153e-06,1.8513424720634293e-06,6.904006589525425e-06,3.7456666252890398e-06,8.460722870194922e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4547304306808521,0.4512240967133775,-0.00011067590095614754,-5.823942118624015e-07,0.45121806349648685,-0.00011670911784678051,-6.138749791165612e-07,0.11481481481481481,0.09026695452286673
5,transition,0.08826895721738015,0.5586552139130994,0.1765379144347603,0.1,5.111624278948195e-06,4.20536710785921e-06,2.3746378766031974e-06,1.8307292312560118e-06,6.8974097963876275e-06,1.5894377842510504e-06,1.683396930541896e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44899412166978614,0.446450915894577,-0.00011703378818694876,-6.187885803095588e-07,0.44644501503620193,-0.0001229346465620451,-6.496698985629997e-07,0.13333333333333333,0.08931358993655279
6,transition,0.1,0.5,0.2,0.1,5.126141315488012e-06,4.156577510590046e-06,2.3489419610689135e-06,1.8076355495211327e-06,6.897331997310359e-06,1.31267810241607e-06,1.7294984683716125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4447721529268887,0.44290734450644875,-0.0001233804118459525,-6.543333231618211e-07,0.4429015979601221,-0.00012912695817263176,-6.843838570059504e-07,0.14814814814814814,0.08860614498365894
7,hybrid,0.1,0.5,0.2,0.1,5.07495471781709e-06,4.11009383067169e-06,2.321410913010829e-06,1.7886829176608611e-06,6.8646817649959575e-06,1.3055359382429038e-06,1.7285522997224155e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4415676362825881,0.4401363370366835,-0.00012923596228120449,-6.865002006766819e-07,0.44013074202557556,-0.00013483097338912176,-7.156724956523819e-07,0.15925925925925927,0.08805311459979294
8,hybrid,0.1,0.5,0.2,0.1,5.029890115138549e-06,4.070121580711183e-06,2.297761408181446e-06,1.7723601725297385e-06,6.8284602929506745e-06,1.2982322117460357e-06,1.7276062783089672e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4390619522464917,0.43785302586703406,-0.00013499446960146821,-7.173428038075166e-07,0.43784758263326706,-0.00014043770336846784,-7.455953222040162e-07,0.17777777777777778,0.08759760406732711
9,hybrid,0.1,0.5,0.2,0.1,4.982573572521206e-06,4.029583177108055e-06,2.2718233189422667e-06,1.7577598581657874e-06,6.780760294146153e-06,1.2882411116389593e-06,1.726614367074443e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4369040053269059,0.43587820503245517,-0.00014020522640578736,-7.44573361737298e-07,0.4358728735024534,-0.00014553675640754937,-7.721028249450498e-07,0.2074074074074074,0.08720368205177219
10,hybrid,0.1,0.5,0.2,0.1,4.9315296652688725e-06,3.98683016975365e-06,2.24631708049081e-06,1.7405130892628411e-06,6.72188404476134e-06,1.2762732406744753e-06,1.7256442904192033e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43489123640802463,0.43409272135720844,-0.00014525299841006145,-7.702627816519965e-07,0.43408749641951516,-0.0001504779361033437,-7.970895963755112e-07,0.24074074074074073,0.0868475948711237
